Wind On,Solar
848.0,67.75
904.0,46.5
960.0,25.25
1016.0,4.0
1055.25,3.0
1094.5,2.0
1133.75,1.0
1173.0,0.0
1199.25,0.0
1225.5,0.0
1251.75,0.0
1278.0,0.0
1297.5,0.0
1317.0,0.0
1336.5,0.0
1356.0,0.0
1357.5,0.0
1359.0,0.0
1360.5,0.0
1362.0,0.0
1329.0,0.0
1296.0,0.0
1263.0,0.0
1230.0,0.0
1213.25,0.0
1196.5,0.0
1179.75,0.0
1163.0,0.0
1111.75,0.0
1060.5,0.0
1009.25,0.0
958.0,0.0
907.25,0.0
856.5,0.0
805.75,0.0
755.0,0.0
720.5,0.0
686.0,0.0
651.5,0.0
617.0,0.0
612.0,0.0
607.0,0.0
602.0,0.0
597.0,0.0
618.0,0.0
639.0,0.0
660.0,0.0
681.0,0.0
705.25,0.0
729.5,0.0
753.75,0.0
778.0,0.0
798.5,0.0
819.0,0.0
839.5,0.0
860.0,0.0
883.5,0.0
907.0,0.0
930.5,0.0
954.0,0.0
979.75,7.0
1005.5,14.0
1031.25,21.0
1057.0,28.0
1040.5,56.0
1024.0,84.0
1007.5,112.0
991.0,140.0
983.5,162.0
976.0,184.0
968.5,206.0
961.0,228.0
926.0,236.75
891.0,245.5
856.0,254.25
821.0,263.0
805.0,264.5
789.0,266.0
773.0,267.5
757.0,269.0
747.75,262.75
738.5,256.5
729.25,250.25
720.0,244.0
687.5,237.25
655.0,230.5
622.5,223.75
590.0,217.0
564.0,203.75
538.0,190.5
512.0,177.25
486.0,164.0
501.5,142.25
517.0,120.5
532.5,98.75
548.0,77.0
583.0,58.75
618.0,40.5
653.0,22.25
688.0,4.0
735.0,3.0
782.0,2.0
829.0,1.0
876.0,0.0
927.25,0.0
978.5,0.0
1029.75,0.0
1081.0,0.0
1105.25,0.0
1129.5,0.0
1153.75,0.0
1178.0,0.0
1193.5,0.0
1209.0,0.0
1224.5,0.0
1240.0,0.0
1265.75,0.0
1291.5,0.0
1317.25,0.0
1343.0,0.0
1367.5,0.0
1392.0,0.0
1416.5,0.0
1441.0,0.0
1487.5,0.0
1534.0,0.0
1580.5,0.0
1627.0,0.0
1655.75,0.0
1684.5,0.0
1713.25,0.0
1742.0,0.0
1739.5,0.0
1737.0,0.0
1734.5,0.0
1732.0,0.0
1728.0,0.0
1724.0,0.0
1720.0,0.0
1716.0,0.0
1707.0,0.0
1698.0,0.0
1689.0,0.0
1680.0,0.0
1689.0,0.0
1698.0,0.0
1707.0,0.0
1716.0,0.0
1718.0,0.0
1720.0,0.0
1722.0,0.0
1724.0,0.0
1746.0,0.0
1768.0,0.0
1790.0,0.0
1812.0,0.0
1817.75,8.25
1823.5,16.5
1829.25,24.75
1835.0,33.0
1837.5,56.0
1840.0,79.0
1842.5,102.0
1845.0,125.0
1824.25,144.0
1803.5,163.0
1782.75,182.0
1762.0,201.0
1751.5,205.75
1741.0,210.5
1730.5,215.25
1720.0,220.0
1711.25,219.0
1702.5,218.0
1693.75,217.0
1685.0,216.0
1682.25,213.75
1679.5,211.5
1676.75,209.25
1674.0,207.0
1664.75,200.5
1655.5,194.0
1646.25,187.5
1637.0,181.0
1583.5,171.5
1530.0,162.0
1476.5,152.5
1423.0,143.0
1396.25,121.75
1369.5,100.5
1342.75,79.25
1316.0,58.0
1317.75,44.0
1319.5,30.0
1321.25,16.0
1323.0,2.0
1298.5,1.5
1274.0,1.0
1249.5,0.5
1225.0,0.0
1194.25,0.0
1163.5,0.0
1132.75,0.0
1102.0,0.0
1055.5,0.0
1009.0,0.0
962.5,0.0
916.0,0.0
889.75,0.0
863.5,0.0
837.25,0.0
811.0,0.0
787.0,0.0
763.0,0.0
739.0,0.0
715.0,0.0
715.75,0.0
716.5,0.0
717.25,0.0
718.0,0.0
686.5,0.0
655.0,0.0
623.5,0.0
592.0,0.0
559.75,0.0
527.5,0.0
495.25,0.0
463.0,0.0
481.5,0.0
500.0,0.0
518.5,0.0
537.0,0.0
559.25,0.0
581.5,0.0
603.75,0.0
626.0,0.0
652.25,0.0
678.5,0.0
704.75,0.0
731.0,0.0
705.0,0.0
679.0,0.0
653.0,0.0
627.0,0.0
568.75,0.0
510.5,0.0
452.25,0.0
394.0,0.0
370.75,0.0
347.5,0.0
324.25,0.0
301.0,0.0
285.5,3.0
270.0,6.0
254.5,9.0
239.0,12.0
248.25,27.5
257.5,43.0
266.75,58.5
276.0,74.0
289.0,94.25
302.0,114.5
315.0,134.75
328.0,155.0
341.5,162.25
355.0,169.5
368.5,176.75
382.0,184.0
408.75,181.25
435.5,178.5
462.25,175.75
489.0,173.0
516.0,168.75
543.0,164.5
570.0,160.25
597.0,156.0
610.0,150.5
623.0,145.0
636.0,139.5
649.0,134.0
668.75,131.75
688.5,129.5
708.25,127.25
728.0,125.0
765.75,110.5
803.5,96.0
841.25,81.5
879.0,67.0
903.0,51.25
927.0,35.5
951.0,19.75
975.0,4.0
1043.75,3.0
1112.5,2.0
1181.25,1.0
1250.0,0.0
1334.75,0.0
1419.5,0.0
1504.25,0.0
1589.0,0.0
1609.75,0.0
1630.5,0.0
1651.25,0.0
1672.0,0.0
1758.25,0.0
1844.5,0.0
1930.75,0.0
2017.0,0.0
2082.25,0.0
2147.5,0.0
2212.75,0.0
2278.0,0.0
2323.25,0.0
2368.5,0.0
2413.75,0.0
2459.0,0.0
2505.0,0.0
2551.0,0.0
2597.0,0.0
2643.0,0.0
2677.0,0.0
2711.0,0.0
2745.0,0.0
2779.0,0.0
2814.25,0.0
2849.5,0.0
2884.75,0.0
2920.0,0.0
2946.0,0.0
2972.0,0.0
2998.0,0.0
3024.0,0.0
3035.25,0.0
3046.5,0.0
3057.75,0.0
3069.0,0.0
3092.75,0.0
3116.5,0.0
3140.25,0.0
3164.0,0.0
3175.0,0.0
3186.0,0.0
3197.0,0.0
3208.0,0.0
3228.0,0.0
3248.0,0.0
3268.0,0.0
3288.0,0.0
3311.5,4.25
3335.0,8.5
3358.5,12.75
3382.0,17.0
3390.75,25.0
3399.5,33.0
3408.25,41.0
3417.0,49.0
3444.5,53.25
3472.0,57.5
3499.5,61.75
3527.0,66.0
3590.0,70.25
3653.0,74.5
3716.0,78.75
3779.0,83.0
3787.0,78.75
3795.0,74.5
3803.0,70.25
3811.0,66.0
3793.25,62.75
3775.5,59.5
3757.75,56.25
3740.0,53.0
3756.25,49.0
3772.5,45.0
3788.75,41.0
3805.0,37.0
3737.25,35.5
3669.5,34.0
3601.75,32.5
3534.0,31.0
3356.5,26.5
3179.0,22.0
3001.5,17.5
2824.0,13.0
2766.5,10.0
2709.0,7.0
2651.5,4.0
2594.0,1.0
2670.0,0.75
2746.0,0.5
2822.0,0.25
2898.0,0.0
2896.75,0.0
2895.5,0.0
2894.25,0.0
2893.0,0.0
2877.5,0.0
2862.0,0.0
2846.5,0.0
2831.0,0.0
2845.0,0.0
2859.0,0.0
2873.0,0.0
2887.0,0.0
2931.5,0.0
2976.0,0.0
3020.5,0.0
3065.0,0.0
3114.0,0.0
3163.0,0.0
3212.0,0.0
3261.0,0.0
3256.0,0.0
3251.0,0.0
3246.0,0.0
3241.0,0.0
3251.75,0.0
3262.5,0.0
3273.25,0.0
3284.0,0.0
3298.25,0.0
3312.5,0.0
3326.75,0.0
3341.0,0.0
3298.5,0.0
3256.0,0.0
3213.5,0.0
3171.0,0.0
3039.5,0.0
2908.0,0.0
2776.5,0.0
2645.0,0.0
2554.0,0.0
2463.0,0.0
2372.0,0.0
2281.0,0.0
2257.75,0.0
2234.5,0.0
2211.25,0.0
2188.0,0.0
2102.5,0.0
2017.0,0.0
1931.5,0.0
