"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Portugal (PT)","03.10.2020 20:00 - 03.10.2020 21:00 (CET/CEST)","414","n/e","n/e","n/e","819","0","n/e","n/e","n/e","n/e","1745","1","1362","770","n/e","n/e","34","n/e","1","n/e","2","1817"
"Portugal (PT)","03.10.2020 21:00 - 03.10.2020 22:00 (CET/CEST)","414","n/e","n/e","n/e","817","0","n/e","n/e","n/e","n/e","1767","0","1402","514","n/e","n/e","34","n/e","0","n/e","2","1900"
"Portugal (PT)","03.10.2020 22:00 - 03.10.2020 23:00 (CET/CEST)","414","n/e","n/e","n/e","824","0","n/e","n/e","n/e","n/e","1646","1","1191","356","n/e","n/e","33","n/e","0","n/e","4","1776"
"Portugal (PT)","03.10.2020 23:00 - 04.10.2020 00:00 (CET/CEST)","419","n/e","n/e","n/e","774","0","n/e","n/e","n/e","n/e","1263","1","719","165","n/e","n/e","34","n/e","0","n/e","6","1822"
"Portugal (PT)","04.10.2020 00:00 - 04.10.2020 01:00 (CET/CEST)","422","n/e","n/e","n/e","666","0","n/e","n/e","n/e","n/e","202","10","681","85","n/e","n/e","34","n/e","0","n/e","6","1625"
"Portugal (PT)","04.10.2020 01:00 - 04.10.2020 02:00 (CET/CEST)","419","n/e","n/e","n/e","683","0","n/e","n/e","n/e","n/e","0","139","467","19","n/e","n/e","34","n/e","0","n/e","8","1538"
"Portugal (PT)","04.10.2020 02:00 - 04.10.2020 03:00 (CET/CEST)","415","n/e","n/e","n/e","531","0","n/e","n/e","n/e","n/e","0","986","183","0","n/e","n/e","33","n/e","0","n/e","11","1633"
"Portugal (PT)","04.10.2020 03:00 - 04.10.2020 04:00 (CET/CEST)","417","n/e","n/e","n/e","408","0","n/e","n/e","n/e","n/e","0","1806","156","0","n/e","n/e","33","n/e","0","n/e","1","2022"
"Portugal (PT)","04.10.2020 04:00 - 04.10.2020 05:00 (CET/CEST)","413","n/e","n/e","n/e","407","0","n/e","n/e","n/e","n/e","0","1629","176","0","n/e","n/e","32","n/e","0","n/e","3","2337"
"Portugal (PT)","04.10.2020 05:00 - 04.10.2020 06:00 (CET/CEST)","409","n/e","n/e","n/e","404","0","n/e","n/e","n/e","n/e","0","1523","154","0","n/e","n/e","31","n/e","0","n/e","9","2454"
"Portugal (PT)","04.10.2020 06:00 - 04.10.2020 07:00 (CET/CEST)","408","n/e","n/e","n/e","405","0","n/e","n/e","n/e","n/e","0","1602","129","2","n/e","n/e","31","n/e","0","n/e","12","2546"
"Portugal (PT)","04.10.2020 07:00 - 04.10.2020 08:00 (CET/CEST)","408","n/e","n/e","n/e","405","0","n/e","n/e","n/e","n/e","0","1945","137","32","n/e","n/e","32","n/e","0","n/e","12","2752"
"Portugal (PT)","04.10.2020 08:00 - 04.10.2020 09:00 (CET/CEST)","400","n/e","n/e","n/e","406","0","n/e","n/e","n/e","n/e","0","1581","136","34","n/e","n/e","32","n/e","4","n/e","12","2867"
"Portugal (PT)","04.10.2020 09:00 - 04.10.2020 10:00 (CET/CEST)","352","n/e","n/e","n/e","413","0","n/e","n/e","n/e","n/e","0","1608","181","94","n/e","n/e","32","n/e","96","n/e","17","2877"
