"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Portugal (PT)","17.02.2016 19:00 - 17.02.2016 20:00 (CET/CEST)","275","n/e","n/e","n/e","1967","1392","n/e","n/e","n/e","n/e","1507","0","2481","1345","n/e","n/e","45","n/e","0","n/e","n/e","1764"
"Portugal (PT)","17.02.2016 20:00 - 17.02.2016 21:00 (CET/CEST)","276","n/e","n/e","n/e","2159","1404","n/e","n/e","n/e","n/e","1441","0","2522","1204","n/e","n/e","44","n/e","0","n/e","n/e","1877"
"Portugal (PT)","17.02.2016 21:00 - 17.02.2016 22:00 (CET/CEST)","274","n/e","n/e","n/e","1920","1465","n/e","n/e","n/e","n/e","1325","0","2532","1240","n/e","n/e","43","n/e","0","n/e","n/e","2159"
"Portugal (PT)","17.02.2016 22:00 - 17.02.2016 23:00 (CET/CEST)","271","n/e","n/e","n/e","2159","1466","n/e","n/e","n/e","n/e","1062","1","2545","1317","n/e","n/e","42","n/e","0","n/e","n/e","1980"
"Portugal (PT)","17.02.2016 23:00 - 18.02.2016 00:00 (CET/CEST)","273","n/e","n/e","n/e","1694","1452","n/e","n/e","n/e","n/e","904","1","2504","1125","n/e","n/e","44","n/e","0","n/e","n/e","1961"
"Portugal (PT)","18.02.2016 00:00 - 18.02.2016 01:00 (CET/CEST)","276","n/e","n/e","n/e","1163","1399","n/e","n/e","n/e","n/e","773","39","2367","1243","n/e","n/e","45","n/e","0","n/e","n/e","1897"
"Portugal (PT)","18.02.2016 01:00 - 18.02.2016 02:00 (CET/CEST)","266","n/e","n/e","n/e","567","1391","n/e","n/e","n/e","n/e","671","391","2212","842","n/e","n/e","45","n/e","0","n/e","n/e","1936"
"Portugal (PT)","18.02.2016 02:00 - 18.02.2016 03:00 (CET/CEST)","263","n/e","n/e","n/e","537","1407","n/e","n/e","n/e","n/e","702","465","2272","868","n/e","n/e","45","n/e","0","n/e","n/e","2098"
"Portugal (PT)","18.02.2016 03:00 - 18.02.2016 04:00 (CET/CEST)","264","n/e","n/e","n/e","538","1430","n/e","n/e","n/e","n/e","670","465","2262","843","n/e","n/e","44","n/e","0","n/e","n/e","2082"
"Portugal (PT)","18.02.2016 04:00 - 18.02.2016 05:00 (CET/CEST)","265","n/e","n/e","n/e","538","1461","n/e","n/e","n/e","n/e","682","464","2393","894","n/e","n/e","44","n/e","0","n/e","n/e","1991"
"Portugal (PT)","18.02.2016 05:00 - 18.02.2016 06:00 (CET/CEST)","265","n/e","n/e","n/e","539","1565","n/e","n/e","n/e","n/e","782","464","2476","862","n/e","n/e","44","n/e","0","n/e","n/e","1947"
"Portugal (PT)","18.02.2016 06:00 - 18.02.2016 07:00 (CET/CEST)","262","n/e","n/e","n/e","538","1463","n/e","n/e","n/e","n/e","920","453","2469","885","n/e","n/e","43","n/e","0","n/e","n/e","1997"
"Portugal (PT)","18.02.2016 07:00 - 18.02.2016 08:00 (CET/CEST)","260","n/e","n/e","n/e","653","1462","n/e","n/e","n/e","n/e","902","82","2466","1115","n/e","n/e","43","n/e","0","n/e","n/e","2024"
"Portugal (PT)","18.02.2016 08:00 - 18.02.2016 09:00 (CET/CEST)","263","n/e","n/e","n/e","1063","1461","n/e","n/e","n/e","n/e","864","1","2457","1163","n/e","n/e","42","n/e","3","n/e","n/e","2100"
"Portugal (PT)","18.02.2016 09:00 - 18.02.2016 10:00 (CET/CEST)","261","n/e","n/e","n/e","1428","1479","n/e","n/e","n/e","n/e","1132","1","2592","1273","n/e","n/e","43","n/e","54","n/e","n/e","1893"
"Portugal (PT)","18.02.2016 10:00 - 18.02.2016 11:00 (CET/CEST)","265","n/e","n/e","n/e","1671","1692","n/e","n/e","n/e","n/e","1349","1","2598","1280","n/e","n/e","43","n/e","158","n/e","n/e","1565"
"Portugal (PT)","18.02.2016 11:00 - 18.02.2016 12:00 (CET/CEST)","262","n/e","n/e","n/e","1683","1750","n/e","n/e","n/e","n/e","1308","0","2606","1338","n/e","n/e","43","n/e","229","n/e","n/e","1211"
"Portugal (PT)","18.02.2016 12:00 - 18.02.2016 13:00 (CET/CEST)","262","n/e","n/e","n/e","1698","1758","n/e","n/e","n/e","n/e","961","1","2585","1305","n/e","n/e","43","n/e","300","n/e","n/e","1087"
"Portugal (PT)","18.02.2016 13:00 - 18.02.2016 14:00 (CET/CEST)","250","n/e","n/e","n/e","1565","1757","n/e","n/e","n/e","n/e","1026","1","2598","1295","n/e","n/e","43","n/e","301","n/e","n/e","1015"
"Portugal (PT)","18.02.2016 14:00 - 18.02.2016 15:00 (CET/CEST)","250","n/e","n/e","n/e","1545","1758","n/e","n/e","n/e","n/e","891","1","2627","1264","n/e","n/e","44","n/e","293","n/e","n/e","1159"
"Portugal (PT)","18.02.2016 15:00 - 18.02.2016 16:00 (CET/CEST)","254","n/e","n/e","n/e","1318","1758","n/e","n/e","n/e","n/e","1005","1","2625","1358","n/e","n/e","43","n/e","270","n/e","n/e","1344"
"Portugal (PT)","18.02.2016 16:00 - 18.02.2016 17:00 (CET/CEST)","261","n/e","n/e","n/e","1278","1687","n/e","n/e","n/e","n/e","966","1","2624","1307","n/e","n/e","44","n/e","242","n/e","n/e","1589"
"Portugal (PT)","18.02.2016 17:00 - 18.02.2016 18:00 (CET/CEST)","264","n/e","n/e","n/e","1327","1621","n/e","n/e","n/e","n/e","998","0","2613","1365","n/e","n/e","43","n/e","161","n/e","n/e","1732"
"Portugal (PT)","18.02.2016 18:00 - 18.02.2016 19:00 (CET/CEST)","259","n/e","n/e","n/e","1352","1713","n/e","n/e","n/e","n/e","1130","1","2580","1379","n/e","n/e","43","n/e","47","n/e","n/e","1721"
"Portugal (PT)","18.02.2016 19:00 - 18.02.2016 20:00 (CET/CEST)","253","n/e","n/e","n/e","1667","1758","n/e","n/e","n/e","n/e","1388","0","2559","1364","n/e","n/e","42","n/e","0","n/e","n/e","1747"
"Portugal (PT)","18.02.2016 20:00 - 18.02.2016 21:00 (CET/CEST)","255","n/e","n/e","n/e","1785","1760","n/e","n/e","n/e","n/e","1364","0","2561","1454","n/e","n/e","42","n/e","0","n/e","n/e","1970"
"Portugal (PT)","18.02.2016 21:00 - 18.02.2016 22:00 (CET/CEST)","257","n/e","n/e","n/e","1987","1761","n/e","n/e","n/e","n/e","1151","0","2565","1446","n/e","n/e","43","n/e","0","n/e","n/e","2160"
"Portugal (PT)","18.02.2016 22:00 - 18.02.2016 23:00 (CET/CEST)","256","n/e","n/e","n/e","1770","1761","n/e","n/e","n/e","n/e","903","1","2602","1329","n/e","n/e","41","n/e","0","n/e","n/e","2222"
"Portugal (PT)","18.02.2016 23:00 - 19.02.2016 00:00 (CET/CEST)","257","n/e","n/e","n/e","1432","1760","n/e","n/e","n/e","n/e","901","1","2343","1219","n/e","n/e","44","n/e","0","n/e","n/e","2091"
